Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	10626	-	0	0	0	0	0	0	4	47	0	0	0	0	0	0	0	0	0	0	70	70	0	0	0	2	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2247	15	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3833	18	0	0	0	0	0	0	1	89	0	0	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	11	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	1	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	11	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6133	18	0	0	0	0	0	0	1	49	0	0	0	0	0	0	0	0	0	0	37	22	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3830	10	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	25	12	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4231	10	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	0	0	1
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	15	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5664	11	6	0	0	0	0	28	0	79	0	0	1	0	0	0	0	1	0	0	150	1897	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1689	11	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	49	187	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	9	0	0	0	0	0	10	0	81	0	0	0	0	0	0	0	0	0	0	58	168	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	4016	12	5	0	0	0	0	23	0	97	0	0	0	0	0	0	0	0	0	0	158	420	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	1946	2	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	1	0	0	49	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	3	0	0	0	0	0	52	0	12	0	0	0	0	0	0	0	0	0	0	58	153	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-at-core-organization.json	4143	3	0	0	0	0	0	29	0	179	0	0	0	0	0	0	0	0	0	0	420	1032	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-at-core-patient.json	27799	16	1	0	0	0	0	192	0	158	0	0	1	0	0	0	0	2	0	0	1444	2399	0	0	0	38	1	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	5	0	0	0	0	0	41	0	20	0	0	0	0	0	0	0	0	0	0	500	558	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	2	0	0	0	0	0	15	0	82	0	0	0	0	0	0	0	0	0	0	150	195	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	2	0	0	0	0	0	49	0	31	0	0	0	0	0	0	0	2	0	0	460	591	0	0	0	13	0	0
