Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.at.fhir.core.r5.json	11872	-	0	0	0	0	0	0	5	80	0	0	0	0	0	0	0	1	0	0	70	80	0	0	0	2	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample01.json	2429	27	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Organization-HL7ATCoreOrganizationExample02-MultipleVPNR.json	1949	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample01.json	3793	21	0	0	0	0	0	0	1	54	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample02-deceasedTime.json	2531	19	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample03-deceasedBoolean.json	1654	18	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample04-Full.json	6083	22	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	13	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample05-FullElga.json	3815	20	1	0	0	0	0	0	1	111	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	1
fsh-generated/resources/Patient-HL7ATCorePatientExample06-GenderExtension.json	4191	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HL7ATCorePatientExample07-MunicipalityCode.json	4013	8	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	17	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-HL7ATCorePractitionerExample01.json	2027	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-HL7ATCorePractitionerRoleExample01.json	1817	7	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	6089	8	5	0	0	0	0	24	0	403	0	0	1	0	0	0	0	0	0	0	111	1787	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1846	6	1	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	0	0	42	202	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-municipalityCode.json	1794	6	0	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	40	178	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-gender-administrativeGenderAddition.json	3515	6	0	0	0	0	0	9	0	119	0	0	0	0	0	0	0	0	0	0	47	167	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3834	7	4	0	0	0	0	15	0	131	0	0	0	0	0	0	0	0	0	0	78	310	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-valueset-systemoid.json	2384	6	0	0	0	0	0	13	0	19	0	0	0	0	0	0	0	0	0	0	31	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-at-core-extendedContactDetail.json	1407	5	0	0	0	0	0	55	0	14	0	0	0	0	0	0	0	0	0	0	35	193	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-at-core-organization.json	4796	7	0	0	0	0	0	32	0	178	0	0	0	0	0	0	0	1	0	0	287	1007	0	0	0	11	1	2
fsh-generated/resources/StructureDefinition-at-core-patient.json	27579	17	1	0	0	0	0	171	0	322	0	0	1	0	0	0	0	3	0	0	712	1744	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-at-core-practitioner.json	4662	7	0	0	0	0	0	61	0	33	0	0	0	0	0	0	0	1	0	0	281	486	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-at-core-practitionerRole.json	1925	6	0	0	0	0	0	23	0	127	0	0	0	0	0	0	0	1	0	0	85	174	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-valueset.json	2704	6	0	0	0	0	0	74	0	32	0	0	0	0	0	0	0	1	0	0	221	786	0	0	0	8	0	1
