URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/audit-event-action,5.0.0,active,"2.16.840.1.113883.4.642.4.453,2.16.840.1.113883.4.642.1.446,2.16.840.1.113883.4.642.2.263",AuditEventAction,Audit Event Action,"Indicator for type of action performed during the event that generated the event.","ValueSet/audit-event-action"
http://hl7.org/fhir/audit-event-severity,5.0.0,active,"2.16.840.1.113883.4.642.4.1894",AuditEventSeverity,Audit Event Severity,"The severity of the audit entry.","ValueSet/audit-event-severity"
http://hl7.org/fhir/issue-severity,5.0.0,active,"2.16.840.1.113883.4.642.2.223,2.16.840.1.113883.4.642.1.398,2.16.840.1.113883.4.642.4.409",IssueSeverity,Issue Severity,"How the issue affects the success of the action.","ValueSet/audit-event-outcome"
http://hl7.org/fhir/restful-interaction,5.0.0,active,"2.16.840.1.113883.4.642.4.1823",FHIRRestfulInteractions,FHIR Restful Interactions,"The set of interactions defined by the RESTful part of the FHIR specification.","ValueSet/audit-event-sub-type"
http://hl7.org/fhir/sample-security-structural-roles,5.0.0,draft,"2.16.840.1.113883.4.642.4.1800",SampleSecurityStructuralRoles,Sample Codes for Security Structural Role,"This codeSystem contains example structural roles. In general, two types of roles can be distinguished: structural roles and functional roles. Structural Roles reflect human or organizational categories (hierarchies), and describe prerequisites, feasibilities, or competences for actions. Functional roles are bound to the realization or performance of actions..","ValueSet/security-role-type"
http://terminology.hl7.org/CodeSystem/audit-event-type,1.0.0,active,"2.16.840.1.113883.4.642.1.1136",AuditEventID,Audit Event ID,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","ValueSet/audit-event-type"
http://terminology.hl7.org/CodeSystem/extra-security-role-type,1.0.1,active,,SecurityRoleType,Security Role Type,"This CodeSystem contains Additional FHIR-defined Security Role types not defined elsewhere","ValueSet/participation-role-type"
http://terminology.hl7.org/CodeSystem/object-role,1.1.0,active,"2.16.840.1.113883.4.642.1.1135",AuditEventEntityRole,AuditEventEntityRole,"Code representing the role the entity played in the audit event.","ValueSet/object-role"
http://terminology.hl7.org/CodeSystem/operation-outcome,3.0.0,draft,"2.16.840.1.113883.4.642.1.1127",OperationOutcomeCodes,Operation Outcome Codes,"Operation Outcome codes used by FHIR test servers (see Implementation file translations.xml)","ValueSet/audit-event-outcome-detail"
http://terminology.hl7.org/CodeSystem/security-source-type,1.0.0,active,"2.16.840.1.113883.4.642.1.1137",AuditEventSourceType,Audit Event Source Type,"The type of process where the audit event originated from.","ValueSet/security-source-type"
http://terminology.hl7.org/CodeSystem/v3-ActReason,3.1.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/v3-PurposeOfUse"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/all-languages"
